DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-15 19:49:54.500235 | A: 29.41
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-17 08:47:10.590802 | A: 30.52
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-19 13:20:03.294595 | HEARTBEAT: 1284920403
DEBUG:root:2010-09-19 13:25:03.296293 | HEARTBEAT: 1284920703
DEBUG:root:2010-09-19 13:30:03.294951 | HEARTBEAT: 1284921003
DEBUG:root:2010-09-19 13:35:03.294391 | HEARTBEAT: 1284921303
DEBUG:root:2010-09-19 13:40:03.292638 | HEARTBEAT: 1284921603
DEBUG:root:2010-09-19 13:45:03.326579 | HEARTBEAT: 1284921903
DEBUG:root:2010-09-19 13:50:03.295824 | HEARTBEAT: 1284922203
DEBUG:root:2010-09-19 13:55:03.296587 | HEARTBEAT: 1284922503
DEBUG:root:2010-09-19 14:00:03.294748 | HEARTBEAT: 1284922803
DEBUG:root:2010-09-19 14:05:03.298951 | HEARTBEAT: 1284923103
DEBUG:root:2010-09-19 14:10:03.291475 | HEARTBEAT: 1284923403
DEBUG:root:2010-09-19 14:15:03.296321 | HEARTBEAT: 1284923703
DEBUG:root:2010-09-19 14:20:03.393998 | HEARTBEAT: 1284924003
DEBUG:root:2010-09-19 14:25:03.295650 | HEARTBEAT: 1284924303
DEBUG:root:2010-09-19 14:30:03.293185 | HEARTBEAT: 1284924603
DEBUG:root:2010-09-19 14:35:03.296213 | HEARTBEAT: 1284924903
DEBUG:root:2010-09-19 14:40:03.316523 | HEARTBEAT: 1284925203
DEBUG:root:2010-09-19 14:45:03.296378 | HEARTBEAT: 1284925503
DEBUG:root:2010-09-19 14:50:03.379224 | HEARTBEAT: 1284925803
DEBUG:root:2010-09-19 14:55:03.296139 | HEARTBEAT: 1284926103
DEBUG:root:2010-09-19 15:00:03.300672 | HEARTBEAT: 1284926403
DEBUG:root:2010-09-19 15:05:03.299170 | HEARTBEAT: 1284926703
DEBUG:root:2010-09-19 15:10:03.353907 | HEARTBEAT: 1284927003
DEBUG:root:2010-09-19 15:15:03.391342 | HEARTBEAT: 1284927303
DEBUG:root:2010-09-19 15:20:03.299872 | HEARTBEAT: 1284927603
DEBUG:root:2010-09-19 15:25:03.300903 | HEARTBEAT: 1284927903
DEBUG:root:2010-09-19 15:30:03.301496 | HEARTBEAT: 1284928203
DEBUG:root:2010-09-19 15:35:03.298637 | HEARTBEAT: 1284928503
DEBUG:root:2010-09-19 15:40:03.302348 | HEARTBEAT: 1284928803
DEBUG:root:2010-09-19 15:45:03.300926 | HEARTBEAT: 1284929103
DEBUG:root:2010-09-19 15:50:03.301860 | HEARTBEAT: 1284929403
DEBUG:root:2010-09-19 15:55:03.302941 | HEARTBEAT: 1284929703
DEBUG:root:2010-09-19 16:00:03.302752 | HEARTBEAT: 1284930003
DEBUG:root:2010-09-19 16:05:03.304787 | HEARTBEAT: 1284930303
DEBUG:root:2010-09-19 16:10:03.303558 | HEARTBEAT: 1284930603
DEBUG:root:2010-09-19 16:15:03.710501 | HEARTBEAT: 1284930903
DEBUG:root:2010-09-19 16:20:03.304596 | HEARTBEAT: 1284931203
DEBUG:root:2010-09-19 16:25:03.976685 | HEARTBEAT: 1284931503
DEBUG:root:2010-09-19 16:30:03.340358 | HEARTBEAT: 1284931803
DEBUG:root:2010-09-19 16:35:03.372566 | HEARTBEAT: 1284932103
DEBUG:root:2010-09-19 16:40:03.328263 | HEARTBEAT: 1284932403
DEBUG:root:2010-09-19 16:45:03.374063 | HEARTBEAT: 1284932703
DEBUG:root:2010-09-19 16:50:03.400985 | HEARTBEAT: 1284933003
DEBUG:root:2010-09-19 16:55:03.352840 | HEARTBEAT: 1284933303
DEBUG:root:2010-09-19 17:00:03.299505 | HEARTBEAT: 1284933603
DEBUG:root:2010-09-19 17:05:03.352686 | HEARTBEAT: 1284933903
DEBUG:root:2010-09-19 17:10:03.361256 | HEARTBEAT: 1284934203
DEBUG:root:2010-09-19 17:15:03.305859 | HEARTBEAT: 1284934503
